,question,answer,question_type,image
0,How many days do we have in a week?,Seven,General Knowledge For Kids,
1,How many days are there in a normal year?,365 (not a leap year),General Knowledge For Kids,
2,How many colors are there in a rainbow?,7,General Knowledge For Kids,
3,Which animal is known as the ‘Ship of the Desert?’,Camel,General Knowledge For Kids,
4,How many letters are there in the English alphabet?,26,General Knowledge For Kids,
5,How many consonants are there in the English alphabet?,21,General Knowledge For Kids,
6,How many sides are there in a triangle?,Three,General Knowledge For Kids,
7,Which month of the year has the least number of days?,February,General Knowledge For Kids,
8,Which are the vowels in the English alphabet series?,"A, E, I, O, U",General Knowledge For Kids,
9,Which animal is called King of Jungle?,Lion,General Knowledge For Kids,
10,How many primary colors are there?,"Three (red, yellow, blue)",General Knowledge For Kids,
11,How many days are there in the month of February in a leap year?,29 days,General Knowledge For Kids,
12,What do you call a house made of ice?,Igloo,General Knowledge For Kids,
13,Which is the largest animal in the world?,Blue whale,General Knowledge For Kids,
14,Which is the tallest animal on the earth?,Giraffe,General Knowledge For Kids,
15,Which festival is known as the festival of colors?,Holi,General Knowledge For Kids,
16,Which festival is called the festival of light?,Diwali,General Knowledge For Kids,
17,What is the top color in a rainbow?,Red,General Knowledge For Kids,
18,What type of bird lays the largest eggs?,Ostrich,General Knowledge For Kids,
19,Which festival is known as the ‘Festival of flowers’?,Onam,General Knowledge For Kids,
20,In which direction does the sunrise?,East,General Knowledge For Kids,
21,Which is the world’s largest flower?,Rafflesia,General Knowledge For Kids,
22,How many zeros are there in one hundred thousand?,Five,General Knowledge For Kids,
23,How many hours are there in two days?,48 hours (24+24),General Knowledge For Kids,
24,How many months of the year have 31 days?,"7 (January, March, May, July, August, October and December)",General Knowledge For Kids,
25,How many weeks are there in one year?,52,General Knowledge For Kids,
26,Which are the colors in a rainbow?,"Violet, Indigo, Blue, Green, Yellow, Orange, Red",General Knowledge For Kids,
27,How many bones does an adult human have?,206,General Knowledge For Kids,
28,Who was the first man to walk on the moon?,Neil Armstrong,General Knowledge For Kids,
29,How many millimeters are there in 1cm?,10,General Knowledge For Kids,
30,Which is the nearest star to planet earth?,Sun,General Knowledge For Kids,
31,Which is the longest river on the earth?,Nile,General Knowledge For Kids,
32,Which is the principal source of energy for earth?,Sun,General Knowledge For Kids,
33,How many lungs does the human body have?,Two,General Knowledge For Kids,
34,What is the standard taste of the water?,Water is tasteless,General Knowledge For Kids,
35,Which is the tallest mountain in the world?,Mount Everest,General Knowledge For Kids,
36,Which is the fastest animal on the land?,Cheetah,General Knowledge For Kids,
37,Which continent is known as ‘Dark’ continent?,Africa,General Knowledge For Kids,
38,Which planet is known as the Red Planet?,Mars,General Knowledge For Kids,
39,Which is the most sensitive organ in our body?,Skin,General Knowledge For Kids,
40,Which is the largest ocean in the world?,Pacific Ocean,General Knowledge For Kids,
41,Which day is observed as World Environment Day?,June 5,General Knowledge For Kids,
42,How many years are there in a century?,One Hundred,General Knowledge For Kids,
43,Which is the largest country in the world?,Russia (By area),General Knowledge For Kids,
44,Who invented the Computer?,Charles Babbage,General Knowledge For Kids,
45,How many players are there in a cricket team?,11,General Knowledge For Kids,
46,Which day is observed as World Literacy Day?,September 8,General Knowledge For Kids,
47,Who is the inventor of Radio?,Marconi,General Knowledge For Kids,
48,Which place is known as the roof of the world?,Tibet,General Knowledge For Kids,
49,How many teeth does a healthy adult have including the wisdom teeth?,32,General Knowledge For Kids,
50,Which gas is most abundant in the earth’s atmosphere?,Nitrogen,General Knowledge For Kids,
51,How many people are there in the world?,Over 7 billion,General Knowledge For Kids,
52,Which is the continent with the most number of countries?,Africa,General Knowledge For Kids,
53,Which is the most common non-contagious disease in the world?,Tooth Decay,General Knowledge For Kids,
54,How many strings does a violin have?,Four,General Knowledge For Kids,
55,How many planets are there in our solar system?,8,General Knowledge For Kids,
56,Which is the hottest continent on Earth?,Africa,General Knowledge For Kids,
57,Which is the smallest continent in the world?,Australia,General Knowledge For Kids,
58,How many years are there in a millennium?,1000,General Knowledge For Kids,
59,Which country is home to the kangaroo?,Australia,General Knowledge For Kids,
60,Who painted the Mona Lisa?,Leonardo da Vinci,General Knowledge For Kids,
61,Who invented the telephone?,Alexander Graham Bell,General Knowledge For Kids,
62,What does the Internet prefix WWW stand for?,World Wide Web,General Knowledge For Kids,
63,How much of Earth’s surface is covered by ocean?,71%,General Knowledge For Kids,
64,Who discovered Penicillin in 1928?,Alexander Fleming,General Knowledge For Kids,
65,How many stars are there in the American flag?,50,General Knowledge For Kids,
66,What do you call a type of shape that has five sides?,Pentagon,General Knowledge For Kids,
67,"Which way is anti-clockwise, left or right?",Left,General Knowledge For Kids,
68,How many equal sides does an isosceles triangle have?,2,General Knowledge For Kids,
69,Which is the coldest location in the earth?,East Antarctica,General Knowledge For Kids,
70,Who discovered electricity?,Benjamin Franklin,General Knowledge For Kids,
71,Which is the most widely spoken language in the world?,Mandarin (Chinese),General Knowledge For Kids,
72,Which two parts of the body continue to grow for your entire life?,Nose and Ears,General Knowledge For Kids,
73,The largest ‘Democracy’ in the world?,India,General Knowledge For Kids,
74,Who is the inventor of Television?,John Logie Baird,General Knowledge For Kids,
75,Which is the largest plateau in the world?,Tibetan Plateau,General Knowledge For Kids,
76,Which is the instrument used to measure Blood pressure?,Sphygmomanometer,General Knowledge For Kids,
77,What color symbolizes peace?,White,General Knowledge For Kids,
78,Who is the founder of Microsoft?,Bill Gates,General Knowledge For Kids,
79,During which year did World War I begin?,1914,General Knowledge For Kids,
80,How many Cricket world cups does India have?,2,General Knowledge For Kids,
81,Global warming is caused by the excess of which type of gas?,Carbon dioxide,General Knowledge For Kids,
82,How many cards are there in a complete pack of cards?,52,General Knowledge For Kids,
83,What is the name of the biggest rain forest in the world?,The Amazon,General Knowledge For Kids,
84,Which African nation is famous for chocolate?,Ghana,General Knowledge For Kids,
85,What makes up (approx ) 80% of our brain’s volume?,Water,General Knowledge For Kids,
86,Which instrument is used for measuring wind speed?,Anemometer,General Knowledge For Kids,
87,‘Stars and Stripes’ is the nickname of the flag of which country?,United States of America,General Knowledge For Kids,
88,Which language is used by the computer to process data?,Binary language,General Knowledge For Kids,
89,What covers approximately 71% of the Earth’s surface: Land or water?,Water,General Knowledge For Kids,
90,Which is the hardest substance available on earth?,Diamond,General Knowledge For Kids,
91,Which is the biggest desert in the world?,Sahara desert,General Knowledge For Kids,
92,Which country gifted The Statue of Liberty to the United States?,France,General Knowledge For Kids,
93,What is the name of the Greek God of music?,Apollo,General Knowledge For Kids,
94,What does the “SIM” in the SIM card stand for?,Subscriber Identity Module,General Knowledge For Kids,
95,Which is the first element on the periodic table of elements?,Hydrogen,General Knowledge For Kids,
96,Which is the longest written Constitution in the world?,India,General Knowledge For Kids,
97,What is the largest joint in the human body?,Knee,General Knowledge For Kids,
98,Which is the smallest bone in the human body?,Stapes (Ear bone),General Knowledge For Kids,
99,Which instrument is used to measure Atmospheric Pressure?,Barometer,General Knowledge For Kids,
100,Which is the largest continent in the world?,Asia,General Knowledge For Kids,
101,Who is the inventor of the electric Bulb?,Thomas Alva Edison,General Knowledge For Kids,
102,On whose memory Nobel Prize is awarded?,Alfred Nobel,General Knowledge For Kids,
103,Who is the first woman to go to space?,Valentina Tereshkova,General Knowledge For Kids,
104,What is HCl?,Hydrochloric acid,General Knowledge For Kids,
105,What is currency of China?,Renminbi,General Knowledge For Kids,
106,"Chameleons have extremely long tongues, sometimes as long as their bodies. True or False?",TRUE,General Knowledge For Kids,
107,An ostrich’s eye is bigger than its brain. True or False?,TRUE,General Knowledge For Kids,
108,A sneeze is faster than the blink of an eye. True or False?,TRUE,General Knowledge For Kids,
109,Pigs can look up into the sky. True or False?,False (They cannot),General Knowledge For Kids,
110,There are 9 planets in our Solar System. True or False?,False (Our Solar system has only 8 planets; Pluto is a dwarf planet),General Knowledge For Kids,
111,Mark Zuckerburg is the father of modern computers. True or False?,False (Charles Babbage is the father of modern computers),General Knowledge For Kids,
112,The egg of a Hummingbird is the smallest egg in the world. True or False?,TRUE,General Knowledge For Kids,
113,Frogs have to drink lots of water. True or False?,FALSE,General Knowledge For Kids,
